Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TB6Ag_D112_RM6,0,0.208560615,0.021874704,0.00177749,0.138102027,0.149174116,0.119182828,0,0,0,0.163217479,0,0.044035109,0,0,0,0,0.006199288,0,0,0.011147646,0.136728699,0,0.375107153,0.935249504
TB6Ag_D112_RM5,0.020365597,0.178015655,0.007325893,0.075325147,0.02831581,0.085465033,0.110752944,0,0,0,0.111450929,0,0.227141925,0.028314615,0,0.003176782,0,6.10E-05,0,0.015908686,0,0.108380007,0,0.384830381,0.926594087
TB6Ag_D112_RM8,0.076135357,0.072908161,0.005042323,0.077968252,0.158030405,0.085539288,0.089255182,0,0,0,0.15371626,0,0.119319623,0.032425025,0,0.007632649,0,0.007508694,0,0.01939578,0,0.095123002,0,0.347726601,0.946998499
TB6Ag_D112_RM9,0.070624342,0.034289045,0.001002301,0.076645605,0.196300364,0.055154667,0.117821534,0,0,0,0.154600589,0,0.144057063,0.021622481,0,0.005633918,0,0.01054394,0,0.007065136,0,0.104639016,0,0.384421208,0.928602013
pp71_D112_RM20,0.076081569,0.071081894,0.005531232,0.072458811,0.084472887,0.141028162,0.106674166,0,0,0,0.159100973,0,0.166403896,0.026002344,0,0.001425242,0,0,0,0,0,0.089738825,0,0.397447861,0.921624858
pp71_D112_RM13,0.06079311,0.139594075,0.008920843,0.058348274,0.161638335,0.136984541,0.096427731,0,0,0,0.154394089,0,0.077861636,0.010093186,0,0,0,0.00091779,0,0.00768786,0,0.08633853,0,0.375082215,0.936943794
pp71_D112_RM14,0,0.338872963,0.011867071,0.042010208,0.087058151,0.085325452,0.058675482,0,0,0,0.133841069,0,0.022387554,0.028153758,0,0.005328871,0,0.001165665,0,0.023389263,0,0.161924494,0,0.434448727,0.905146377
pp71_D112_RM15,0,0.063067072,0.008969502,0.006496983,0.1669619,0.069876952,0.092080385,0,0,0,0.191875079,0,0.049053672,0.063487075,0,0.003647541,0,0,0,0.049844095,0,0.234639744,0,0.30636457,0.97199786
pp71_D112_RM16,0.039406369,0.091243219,0.007996802,0.089464493,0.226921546,0.085251559,0.077008276,0,0,0,0.125956755,0,0.063043365,0.005765674,0,0.003649818,0,0.009569169,0,0.025534922,0,0.149188032,0,0.324500477,0.964197297
pp71_D112_RM18,0.064433968,0.113337695,0.011833609,0.094241042,0.148451171,0.12386323,0.067745993,0,0,0,0.114344839,0,0.056534877,0.030208561,0,0.005938096,0,0.003430497,0,0,0,0.165636422,0,0.380218678,0.934156666
